Order ID,Order Year,Order Month,Order Day,Customer Name,Segment,Country,Region,Category,Sub-Category,Product Name,Ship Mode,Sales,Quantity,Discount,Profit
CA-2016-152156,2016,11,8,Claire Gute,Consumer,United States,South,Furniture,Bookcases,Bush Somerset Collection Bookcase,Second Class,261.96,2.0,0.0,41.9136
CA-2016-152156,2016,11,8,Claire Gute,Consumer,United States,South,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Second Class,731.94,3.0,0.0,219.582
CA-2016-138688,2016,6,12,Darrin Van Huff,Corporate,United States,West,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,Second Class,14.62,2.0,0.0,6.8714
US-2015-108966,2015,10,11,Sean O'Donnell,Consumer,United States,South,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,Standard Class,957.5775,5.0,0.45,-383.031
US-2015-108966,2015,10,11,Sean O'Donnell,Consumer,United States,South,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,Standard Class,22.368,2.0,0.2,2.5164
CA-2014-115812,2014,6,9,Brosina Hoffman,Consumer,United States,West,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Standard Class,48.86,7.0,0.0,14.1694
CA-2014-115812,2014,6,9,Brosina Hoffman,Consumer,United States,West,Office Supplies,Art,Newell 322,Standard Class,7.28,4.0,0.0,1.9656
CA-2014-115812,2014,6,9,Brosina Hoffman,Consumer,United States,West,Technology,Phones,Mitel 5320 IP Phone VoIP phone,Standard Class,907.152,6.0,0.2,90.7152
CA-2014-115812,2014,6,9,Brosina Hoffman,Consumer,United States,West,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,Standard Class,18.504,3.0,0.2,5.7825
CA-2014-115812,2014,6,9,Brosina Hoffman,Consumer,United States,West,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,Standard Class,114.9,5.0,0.0,34.47
CA-2014-115812,2014,6,9,Brosina Hoffman,Consumer,United States,West,Furniture,Tables,Chromcraft Rectangular Conference Tables,Standard Class,1706.184,9.0,0.2,85.3092
CA-2014-115812,2014,6,9,Brosina Hoffman,Consumer,United States,West,Technology,Phones,Konftel 250 Conference phone - Charcoal black,Standard Class,911.424,4.0,0.2,68.3568
CA-2017-114412,2017,4,15,Andrew Allen,Consumer,United States,South,Office Supplies,Paper,Xerox 1967,Standard Class,15.552,3.0,0.2,5.4432
CA-2016-161389,2016,12,5,Irene Maddox,Consumer,United States,West,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,Standard Class,407.976,3.0,0.2,132.5922
US-2015-118983,2015,11,22,Harold Pawlan,Home Office,United States,Central,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Standard Class,68.81,5.0,0.8,-123.858
US-2015-118983,2015,11,22,Harold Pawlan,Home Office,United States,Central,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,Standard Class,2.544,3.0,0.8,-3.816
CA-2014-105893,2014,11,11,Pete Kriz,Consumer,United States,Central,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Standard Class,665.88,6.0,0.0,13.3176
CA-2014-167164,2014,5,13,Alejandro Grove,Consumer,United States,West,Office Supplies,Storage,Fellowes Super Stor/Drawer,Second Class,55.5,2.0,0.0,9.99
CA-2014-143336,2014,8,27,Zuschuss Donatelli,Consumer,United States,West,Office Supplies,Art,Newell 341,Second Class,8.56,2.0,0.0,2.4824
CA-2014-143336,2014,8,27,Zuschuss Donatelli,Consumer,United States,West,Technology,Phones,Cisco SPA 501G IP Phone,Second Class,213.48,3.0,0.2,16.011
CA-2014-143336,2014,8,27,Zuschuss Donatelli,Consumer,United States,West,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",Second Class,22.72,4.0,0.2,7.384
CA-2016-137330,2016,12,9,Ken Black,Corporate,United States,Central,Office Supplies,Art,Newell 318,Standard Class,19.46,7.0,0.0,5.0596
CA-2016-137330,2016,12,9,Ken Black,Corporate,United States,Central,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",Standard Class,60.34,7.0,0.0,15.6884
US-2017-156909,2017,7,16,Sandra Flanagan,Consumer,United States,East,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",Second Class,71.372,2.0,0.3,-1.0196
CA-2015-106320,2015,9,25,Emily Burns,Consumer,United States,West,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,Standard Class,1044.63,3.0,0.0,240.2649
CA-2016-121755,2016,1,16,Eric Hoffmann,Consumer,United States,West,Office Supplies,Binders,Wilson Jones Active Use Binders,Second Class,11.648,2.0,0.2,4.2224
CA-2016-121755,2016,1,16,Eric Hoffmann,Consumer,United States,West,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Second Class,90.57,3.0,0.0,11.7741
US-2015-150630,2015,9,17,Tracy Blumstein,Consumer,United States,East,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Standard Class,3083.43,7.0,0.5,-1665.0522
US-2015-150630,2015,9,17,Tracy Blumstein,Consumer,United States,East,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,Standard Class,9.618,2.0,0.7,-7.0532
US-2015-150630,2015,9,17,Tracy Blumstein,Consumer,United States,East,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Standard Class,124.2,3.0,0.2,15.525
US-2015-150630,2015,9,17,Tracy Blumstein,Consumer,United States,East,Office Supplies,Envelopes,Poly String Tie Envelopes,Standard Class,3.264,2.0,0.2,1.1016
US-2015-150630,2015,9,17,Tracy Blumstein,Consumer,United States,East,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Standard Class,86.304,6.0,0.2,9.7092
US-2015-150630,2015,9,17,Tracy Blumstein,Consumer,United States,East,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Standard Class,6.858,6.0,0.7,-5.715
US-2015-150630,2015,9,17,Tracy Blumstein,Consumer,United States,East,Office Supplies,Art,Lumber Crayons,Standard Class,15.76,2.0,0.2,3.546
CA-2017-107727,2017,10,19,Matt Abelman,Home Office,United States,Central,Office Supplies,Paper,Easy-staple paper,Second Class,29.472,3.0,0.2,9.9468
CA-2016-117590,2016,12,8,Gene Hale,Corporate,United States,Central,Technology,Phones,GE 30524EE4,First Class,1097.544,7.0,0.2,123.4737
CA-2016-117590,2016,12,8,Gene Hale,Corporate,United States,Central,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",First Class,190.92,5.0,0.6,-147.963
CA-2015-117415,2015,12,27,Steve Nguyen,Home Office,United States,Central,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Standard Class,113.328,9.0,0.2,35.415
CA-2015-117415,2015,12,27,Steve Nguyen,Home Office,United States,Central,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Standard Class,532.3992,3.0,0.32,-46.9764
CA-2015-117415,2015,12,27,Steve Nguyen,Home Office,United States,Central,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",Standard Class,212.058,3.0,0.3,-15.147
CA-2015-117415,2015,12,27,Steve Nguyen,Home Office,United States,Central,Technology,Phones,Plantronics HL10 Handset Lifter,Standard Class,371.168,4.0,0.2,41.7564
CA-2017-120999,2017,9,10,Linda Cazamias,Corporate,United States,Central,Technology,Phones,Panasonic Kx-TS550,Standard Class,147.168,4.0,0.2,16.5564
CA-2016-101343,2016,7,17,Ruben Ausman,Corporate,United States,West,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",Standard Class,77.88,2.0,0.0,3.894
CA-2017-139619,2017,9,19,Erin Smith,Corporate,United States,South,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Standard Class,95.616,2.0,0.2,9.5616
CA-2016-118255,2016,3,11,Odella Nelson,Corporate,United States,Central,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",First Class,45.98,2.0,0.0,19.7714
CA-2016-118255,2016,3,11,Odella Nelson,Corporate,United States,Central,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,First Class,17.46,2.0,0.0,8.2062
CA-2014-146703,2014,10,20,Patrick O'Donnell,Consumer,United States,Central,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Second Class,211.96,4.0,0.0,8.4784
CA-2016-169194,2016,6,20,Lena Hernandez,Consumer,United States,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Standard Class,45.0,3.0,0.0,4.95
CA-2016-169194,2016,6,20,Lena Hernandez,Consumer,United States,East,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Standard Class,21.8,2.0,0.0,6.104
CA-2015-115742,2015,4,18,Darren Powers,Consumer,United States,Central,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Standard Class,38.22,6.0,0.0,17.9634
CA-2015-115742,2015,4,18,Darren Powers,Consumer,United States,Central,Office Supplies,Labels,Avery 485,Standard Class,75.18,6.0,0.0,35.3346
CA-2015-115742,2015,4,18,Darren Powers,Consumer,United States,Central,Furniture,Furnishings,Longer-Life Soft White Bulbs,Standard Class,6.16,2.0,0.0,2.9568
CA-2015-115742,2015,4,18,Darren Powers,Consumer,United States,Central,Furniture,Chairs,"Global Leather Task Chair, Black",Standard Class,89.99,1.0,0.0,17.0981
CA-2016-105816,2016,12,11,Janet Molinari,Corporate,United States,East,Office Supplies,Fasteners,Advantus Push Pins,Standard Class,15.26,7.0,0.0,6.2566
CA-2016-105816,2016,12,11,Janet Molinari,Corporate,United States,East,Technology,Phones,AT&T CL83451 4-Handset Telephone,Standard Class,1029.95,5.0,0.0,298.6855
CA-2016-111682,2016,6,17,Ted Butterfield,Consumer,United States,East,Office Supplies,Storage,Home/Office Personal File Carts,First Class,208.56,6.0,0.0,52.14
CA-2016-111682,2016,6,17,Ted Butterfield,Consumer,United States,East,Office Supplies,Paper,Xerox 232,First Class,32.4,5.0,0.0,15.552
CA-2016-111682,2016,6,17,Ted Butterfield,Consumer,United States,East,Furniture,Chairs,Novimex Turbo Task Chair,First Class,319.41,5.0,0.1,7.098
CA-2016-111682,2016,6,17,Ted Butterfield,Consumer,United States,East,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",First Class,14.56,2.0,0.0,6.9888
CA-2016-111682,2016,6,17,Ted Butterfield,Consumer,United States,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,First Class,30.0,2.0,0.0,3.3
CA-2016-111682,2016,6,17,Ted Butterfield,Consumer,United States,East,Office Supplies,Binders,Plastic Binding Combs,First Class,48.48,4.0,0.2,16.362
CA-2016-111682,2016,6,17,Ted Butterfield,Consumer,United States,East,Office Supplies,Art,Prang Dustless Chalk Sticks,First Class,1.68,1.0,0.0,0.84
CA-2015-135545,2015,11,24,Kunst Miller,Consumer,United States,West,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Standard Class,13.98,2.0,0.0,6.1512
CA-2015-135545,2015,11,24,Kunst Miller,Consumer,United States,West,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Standard Class,25.824,6.0,0.2,9.3612
CA-2015-135545,2015,11,24,Kunst Miller,Consumer,United States,West,Office Supplies,Paper,Xerox 1943,Standard Class,146.73,3.0,0.0,68.9631
CA-2015-135545,2015,11,24,Kunst Miller,Consumer,United States,West,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,Standard Class,79.76,4.0,0.0,22.3328
US-2015-164175,2015,4,30,Paul Stevenson,Home Office,United States,Central,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",Standard Class,213.115,5.0,0.3,-15.2225
CA-2014-106376,2014,12,5,Brendan Sweed,Corporate,United States,West,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Standard Class,1113.024,8.0,0.2,111.3024
CA-2014-106376,2014,12,5,Brendan Sweed,Corporate,United States,West,Technology,Phones,netTALK DUO VoIP Telephone Service,Standard Class,167.968,4.0,0.2,62.988
CA-2016-119823,2016,6,4,Karen Daniels,Consumer,United States,South,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",First Class,75.88,2.0,0.0,35.6636
CA-2016-106075,2016,9,18,Henry MacAllister,Consumer,United States,East,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,Standard Class,4.616,1.0,0.2,1.731
CA-2017-114440,2017,9,14,Tracy Blumstein,Consumer,United States,Central,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Second Class,19.05,3.0,0.0,8.763
US-2015-134026,2015,4,26,Joel Eaton,Consumer,United States,South,Furniture,Chairs,High-Back Leather Manager's Chair,Standard Class,831.936,8.0,0.2,-114.3912
US-2015-134026,2015,4,26,Joel Eaton,Consumer,United States,South,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Standard Class,97.04,2.0,0.2,1.213
US-2015-134026,2015,4,26,Joel Eaton,Consumer,United States,South,Office Supplies,Storage,Safco Industrial Wire Shelving System,Standard Class,72.784,1.0,0.2,-18.196
US-2017-118038,2017,12,9,Ken Brennan,Corporate,United States,Central,Office Supplies,Binders,Economy Binders,First Class,1.248,3.0,0.8,-1.9344
US-2017-118038,2017,12,9,Ken Brennan,Corporate,United States,Central,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",First Class,9.708,3.0,0.6,-5.8248
US-2017-118038,2017,12,9,Ken Brennan,Corporate,United States,Central,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",First Class,27.24,3.0,0.2,2.724
US-2014-147606,2014,11,26,Joel Eaton,Consumer,United States,Central,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Second Class,19.3,5.0,0.6,-14.475
CA-2016-127208,2016,6,12,Stewart Carmichael,Corporate,United States,South,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",First Class,208.16,1.0,0.0,56.2032
CA-2016-127208,2016,6,12,Stewart Carmichael,Corporate,United States,South,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,First Class,16.74,3.0,0.0,8.0352
CA-2014-139451,2014,10,12,Duane Noonan,Consumer,United States,West,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Standard Class,14.9,5.0,0.0,4.172
CA-2014-139451,2014,10,12,Duane Noonan,Consumer,United States,West,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",Standard Class,21.39,1.0,0.0,6.2031
CA-2015-149734,2015,9,3,Julie Creighton,Corporate,United States,South,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Standard Class,200.984,7.0,0.2,62.8075
US-2017-119662,2017,11,13,Christopher Schild,Home Office,United States,Central,Office Supplies,Storage,Safco Industrial Wire Shelving,First Class,230.376,3.0,0.2,-48.9549
